id,name,nick_name,wins,losses,draws,height,weight,reach,stance
74fefd43f073cd2f,Joe Pardo,,4,6,0,185.42,95.25,,Southpaw
8c1ca54b5089d199,Maheshate,,10,4,0,182.88,70.31,180.34,Orthodox
4234f0097c83fa62,Sijara Eubanks,SarJ,8,7,0,162.56,56.7,170.18,Orthodox
1291edf2d566a71a,Julio Arce,,19,6,0,170.18,65.77,177.8,Southpaw
7a47e068f8017019,Val Woodburn,The Animal,7,2,0,172.72,77.11,187.96,Orthodox
b4c57a8c2b773e82,Michal Figlak,Mad Dog,8,2,0,177.8,70.31,177.8,Orthodox
f782f953bfe7b5f2,Jonathan Micallef,The Captain,8,1,0,182.88,77.11,195.58,Southpaw
56c9acc4e86046a2,Chris Kelades,The Greek Assassin,9,3,0,170.18,56.7,172.72,Orthodox
93892752c5fc23ca,Jerry Bohlander,,11,4,0,180.34,90.26,,Orthodox
2ff2e6e5abea3e53,Lewis Gonzalez,Lethal,11,3,0,177.8,77.11,,Orthodox
8bbc0cfc01bc1ba1,Leonardo Mafra,Macarrao,13,4,0,177.8,70.31,177.8,Orthodox
172c2135e70f87b7,Luke Barnatt,The Bigslow,13,4,0,198.12,83.91,195.58,Orthodox
4834ff149dc9542a,Norifumi Yamamoto,Kid,18,6,0,162.56,61.23,167.64,Southpaw
7f0f171414d0a287,Zelim Imadaev,,8,3,0,182.88,77.11,193.04,Orthodox
dee294e9717012c2,Malcolm Gordon,X,14,8,0,170.18,56.7,180.34,Switch
0ccab7c889ede9ea,Fredy Serrano,El Profe,3,2,0,160.02,56.7,165.1,Orthodox
e93b04e308913c2e,Dooho Choi,The Korean Superboy,16,4,1,177.8,65.77,177.8,Orthodox
1a2bf44edb8055b6,Serhiy Sidey,,12,2,0,180.34,61.23,182.88,Switch
54ed8dc6f8c31207,Gilbert Smith,,12,6,0,175.26,83.91,,Southpaw
44260175069b6276,Jens Pulver,Little Evil,27,19,1,170.18,65.77,177.8,Southpaw
abcf2cc6efc42031,Iasmin Lucindo,,17,6,0,160.02,52.16,167.64,Orthodox
88cd34d836b4ebcd,Teruto Ishihara,Yashabo,10,7,2,170.18,61.23,175.26,Southpaw
ab943cd2c3c17825,Marcos Rogerio de Lima,Pezao,22,10,1,185.42,114.76,190.5,Orthodox
fa6796c55d6c5440,Curtis Blaydes,Razor,19,5,0,193.04,120.2,203.2,Orthodox
712c4db78b9373d1,Joe Jordan,,49,14,2,167.64,70.31,,Orthodox
17734443a833cdf7,Quillan Salkilld,,9,1,0,182.88,70.31,190.5,Orthodox
c549573c0df4d676,Maki Pitolo,Coconut Bombz,13,9,0,177.8,83.91,190.5,Orthodox
5cdf5339728f580d,Felipe dos Santos,Lipe Detona,8,3,0,170.18,56.7,177.8,Orthodox
84ff027394f7e470,Gregor Gillespie,The Gift,14,1,0,170.18,70.31,180.34,Orthodox
002ca196477ce572,Gabriel Silva,,8,2,0,167.64,61.23,180.34,Orthodox
054defd5420a551f,Rob Kimmons,The Rosedale Reaper,25,9,0,177.8,83.91,185.42,Orthodox
0bcfe2513cb3bc39,Tom DeBlass,,9,2,0,182.88,83.91,,Orthodox
e8c170a64dc920ac,Tulio Palhares,,2,16,0,,81.65,,
d3c554d6e11fc9d6,Jianping Yang,,11,4,1,170.18,65.77,,Orthodox
0abcf6bc47191219,Bruno Lopes,Brunao,14,2,0,187.96,92.99,187.96,Orthodox
b59037262c8fe060,Ryan Janes,,10,3,0,190.5,83.91,193.04,Orthodox
56b8b24f65f9f057,Mike Kyle,MAK,22,14,1,193.04,92.99,195.58,Orthodox
d3df1add9d9a7efb,Derrick Lewis,The Black Beast,29,12,0,190.5,117.93,200.66,Orthodox
6b7bc7eaf2465387,Neil Wain,Old School,13,4,0,177.8,109.77,,Orthodox
10657c60ce349e0f,Shunichi Shimizu,,30,18,11,165.1,61.23,,Orthodox
f046d724d2a84ac5,Desmond Green,The Predator,23,8,0,177.8,70.31,185.42,Southpaw
aa6e591c2a2cdecd,Ricardo Abreu,Demente,5,1,0,180.34,83.91,,Orthodox
40093d1d2d78394e,Charles Rosa,Boston Strong,14,8,0,175.26,65.77,175.26,Switch
a0e75f4a13eb73f1,Megan Anderson,,11,5,0,182.88,65.77,182.88,Orthodox
8b69839f3555a67b,Martin Kampmann,The Hitman,20,7,0,182.88,77.11,182.88,Orthodox
c0386644627a7ee5,Mana Martinez,ManaBoi,10,4,0,177.8,61.23,177.8,Orthodox
37f560436d745c18,Nikolas Motta,Iron,15,6,0,175.26,70.31,177.8,Orthodox
c58f51dedb310998,Michael Chiesa,Maverick,19,7,0,185.42,77.11,190.5,Southpaw
24174a3f44ce8e03,Chan-Mi Jeon,,5,2,0,165.1,52.16,,Orthodox
93b9496275bbbf80,Seth Petruzelli,The Silverback,14,8,0,182.88,92.99,193.04,Orthodox
e780ccc79a209985,John Dowdy,,0,1,0,,,,
6b7c7460855dbbb9,Albert Duraev,,16,5,0,180.34,83.91,190.5,Orthodox
